,Player,Name,Nation,Pos,Squad,season
613,Jakub Jankto\Jakub-Jankto,JANKTO,cz CZE,MF,Sampdoria,2019-2020
614,Jony\Jony,JONY,es ESP,DF,Lazio,2019-2020
615,Franck Kessié\Franck-Kessie,KESSIE,ci CIV,MF,Milan,2019-2020
616,Ragnar Klavan\Ragnar-Klavan,KLAVAN,ee EST,DF,Cagliari,2019-2020
617,Justin Kluivert\Justin-Kluivert,KLUIVERT,nl NED,FWMF,Roma,2019-2020
618,Aleksandar Kolarov\Aleksandar-Kolarov,KOLAROV,rs SRB,DF,Roma,2019-2020
619,Kalidou Koulibaly\Kalidou-Koulibaly,KOULIBALY,sn SEN,DF,Napoli,2019-2020
620,Ladislav Krejčí\Ladislav-Krejci,KREJCI,cz CZE,DF,Bologna,2019-2020
621,Juraj Kucka\Juraj-Kucka,KUCKA,sk SVK,MFFW,Parma,2019-2020
622,Dejan Kulusevski\Dejan-Kulusevski,KULUSEVSKI,se SWE,FWMF,Parma,2019-2020
623,Marash Kumbulla\Marash-Kumbulla,KUMBULLA,al ALB,DF,Verona,2019-2020
624,Jasmin Kurtić\Jasmin-Kurtic,KURTIC,si SVN,MFFW,Parma,2019-2020
625,Gianluca Lapadula\Gianluca-Lapadula,LAPADULA,pe PER,FW,Lecce,2019-2020
626,Kevin Lasagna\Kevin-Lasagna,LASAGNA,it ITA,FW,Udinese,2019-2020
627,Darko Lazović\Darko-Lazovic,LAZOVIC,rs SRB,DF,Verona,2019-2020
628,Manuel Lazzari\Manuel-Lazzari,LAZZARI,it ITA,DF,Lazio,2019-2020
629,Lukas Lerager\Lukas-Lerager,LERAGER,dk DEN,MF,Genoa,2019-2020
630,Karol Linetty\Karol-Linetty,LINETTY,pl POL,MF,Sampdoria,2019-2020
631,Pol Lirola\Pol-Lirola,LIROLA,es ESP,DF,Fiorentina,2019-2020
632,Manuel Locatelli\Manuel-Locatelli,LOCATELLI,it ITA,MF,Sassuolo,2019-2020
633,Hirving Lozano\Hirving-Lozano,LOZANO,mx MEX,FWMF,Napoli,2019-2020
634,Fabio Lucioni\Fabio-Lucioni,LUCIONI,it ITA,DF,Lecce,2019-2020
635,José Luis Palomino\Jose-Luis-Palomino,PALOMINO,ar ARG,DF,Atalanta,2019-2020
636,Romelu Lukaku\Romelu-Lukaku,LUKAKU,be BEL,FW,Inter,2019-2020
637,Saša Lukić\Sasa-Lukic,LUKIC,rs SRB,MF,Torino,2019-2020
638,Senad Lulić\Senad-Lulic,LULIC,ba BIH,DF,Lazio,2019-2020
639,Lyanco\Lyanco,LYANCO,br BRA,DF,Torino,2019-2020
640,Charalambos Lykogiannis\Charalambos-Lykogiannis,LYKOGIANNIS,gr GRE,DF,Cagliari,2019-2020
641,Francesco Magnanelli\Francesco-Magnanelli,MAGNANELLI,it ITA,MF,Sassuolo,2019-2020
642,Žan Majer\Zan-Majer,MAJER,si SVN,MF,Lecce,2019-2020
643,Nikola Maksimović\Nikola-Maksimovic,MAKSIMOVIC,rs SRB,DF,Napoli,2019-2020
644,Ruslan Malinovskyi\Ruslan-Malinovskyi,MALINOVSKYI,ua UKR,MFFW,Atalanta,2019-2020
645,Gianluca Mancini\Gianluca-Mancini,MANCINI,it ITA,DFMF,Roma,2019-2020
646,Marco Mancosu\Marco-Mancosu,MANCOSU,it ITA,MFFW,Lecce,2019-2020
647,Rolando Mandragora\Rolando-Mandragora,MANDRAGORA,it ITA,MF,Udinese,2019-2020
648,Massimiliano Mangraviti\Massimiliano-Mangraviti,MANGRAVITI,it ITA,DF,Brescia,2019-2020
649,Kostas Manolas\Kostas-Manolas,MANOLAS,gr GRE,DF,Napoli,2019-2020
650,Marlon\Marlon,MARLON,br BRA,DF,Sassuolo,2019-2020
651,Bruno Martella\Bruno-Martella,MARTELLA,it ITA,DFMF,Brescia,2019-2020
652,Adam Marušić\Adam-Marusic,MARUSIC,me MNE,DF,Lazio,2019-2020
653,Andrea Masiello\Andrea-Masiello,MASIELLO,it ITA,DF,Genoa,2019-2020
654,Aleš Matějů\Ales-Mateju,MATEJU,cz CZE,DF,Brescia,2019-2020
655,Federico Mattiello\Federico-Mattiello,MATTIELLO,it ITA,DF,Cagliari,2019-2020
656,Blaise Matuidi\Blaise-Matuidi,MATUIDI,fr FRA,MF,Juventus,2019-2020
657,Ibrahima Mbaye\Ibrahima-Mbaye,MBAYE,sn SEN,DF,Bologna,2019-2020
658,Gary Medel\Gary-Medel,MEDEL,cl CHI,MF,Bologna,2019-2020
659,Soualiho Meïté\Soualiho-Meite,MEITE,fr FRA,MF,Torino,2019-2020
660,Dries Mertens\Dries-Mertens,MERTENS,be BEL,FW,Napoli,2019-2020
661,Nikola Milenković\Nikola-Milenkovic,MILENKOVIC,rs SRB,DF,Fiorentina,2019-2020
662,Arkadiusz Milik\Arkadiusz-Milik,MILIK,pl POL,FW,Napoli,2019-2020
663,Sergej Milinković-Savić\Sergej-Milinkovic-Savic,MILINKOVIC-SAVIC,rs SRB,MF,Lazio,2019-2020
664,Simone Missiroli\Simone-Missiroli,MISSIROLI,it ITA,MF,SPAL,2019-2020
665,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,MKHITARYAN,am ARM,FWMF,Roma,2019-2020
666,Mert Müldür\Mert-Muldur,MULDUR,tr TUR,DF,Sassuolo,2019-2020
667,Alessandro Murgia\Alessandro-Murgia,MURGIA,it ITA,MF,SPAL,2019-2020
668,Luis Muriel\Luis-Muriel,MURIEL,co COL,FW,Atalanta,2019-2020
669,Nicola Murru\Nicola-Murru,MURRU,it ITA,DF,Sampdoria,2019-2020
670,Mateo Musacchio\Mateo-Musacchio,MUSACCHIO,ar ARG,DF,Milan,2019-2020
671,Radja Nainggolan\Radja-Nainggolan,NAINGGOLAN,be BEL,MFFW,Cagliari,2019-2020
672,Nahitan Nández\Nahitan-Nandez,NANDEZ,uy URU,MFDF,Cagliari,2019-2020
673,Ilija Nestorovski\Ilija-Nestorovski,NESTOROVSKI,mk MKD,FW,Udinese,2019-2020
674,Nicolas Nkoulou\Nicolas-Nkoulou,NKOULOU,cm CMR,DF,Torino,2019-2020
675,Bram Nuytinck\Bram-Nuytinck,NUYTINCK,nl NED,DF,Udinese,2019-2020
676,Pedro Obiang\Pedro-Obiang,OBIANG,gq EQG,MF,Sassuolo,2019-2020
677,Stefano Okaka\Stefano-Okaka,OKAKA,it ITA,FW,Udinese,2019-2020
678,Riccardo Orsolini\Riccardo-Orsolini,ORSOLINI,it ITA,FWMF,Bologna,2019-2020
679,Rodrigo Palacio\Rodrigo-Palacio,PALACIO,ar ARG,FW,Bologna,2019-2020
680,Goran Pandev\Goran-Pandev,PANDEV,mk MKD,FWMF,Genoa,2019-2020
681,Andrea Papetti\Andrea-Papetti,PAPETTI,it ITA,DF,Brescia,2019-2020
682,Lucas Paquetá\Lucas-Paqueta,PAQUETA,br BRA,MFFW,Milan,2019-2020
683,Marco Parolo\Marco-Parolo,PAROLO,it ITA,MF,Lazio,2019-2020
684,Mario Pašalić\Mario-Pasalic,PASALIC,hr CRO,MFFW,Atalanta,2019-2020
685,Patric\Patric,PATRIC,es ESP,DF,Lazio,2019-2020
686,Federico Peluso\Federico-Peluso,PELUSO,it ITA,DF,Sassuolo,2019-2020
687,Matteo Pessina\Matteo-Pessina,PESSINA,it ITA,MFFW,Verona,2019-2020
688,Andrea Petagna\Andrea-Petagna,PETAGNA,it ITA,FW,SPAL,2019-2020
689,Jacopo Petriccione\Jacopo-Petriccione,PETRICCIONE,it ITA,MF,Lecce,2019-2020
690,Krzysztof Piątek\Krzysztof-Piatek,PIATEK,pl POL,FW,Milan,2019-2020
691,Andrea Pinamonti\Andrea-Pinamonti,PINAMONTI,it ITA,FW,Genoa,2019-2020
692,Fabio Pisacane\Fabio-Pisacane,PISACANE,it ITA,DF,Cagliari,2019-2020
693,Miralem Pjanić\Miralem-Pjanic,PJANIC,ba BIH,MF,Juventus,2019-2020
694,Andrea Poli\Andrea-Poli,POLI,it ITA,MF,Bologna,2019-2020
695,Erick Pulgar\Erick-Pulgar,PULGAR,cl CHI,MF,Fiorentina,2019-2020
696,Fabio Quagliarella\Fabio-Quagliarella,QUAGLIARELLA,it ITA,FW,Sampdoria,2019-2020
697,Adrien Rabiot\Adrien-Rabiot,RABIOT,fr FRA,MF,Juventus,2019-2020
698,Ivan Radovanović\Ivan-Radovanovic,RADOVANOVIC,rs SRB,MF,Genoa,2019-2020
699,Ștefan Radu\Stefan-Radu,RADU,ro ROU,DF,Lazio,2019-2020
700,Gastón Ramírez\Gaston-Ramirez,RAMIREZ,uy URU,MFFW,Sampdoria,2019-2020
701,Aaron Ramsey\Aaron-Ramsey,RAMSEY,wls WAL,MF,Juventus,2019-2020
702,Ante Rebić\Ante-Rebic,REBIC,hr CRO,FW,Milan,2019-2020
703,Arkadiusz Reca\Arkadiusz-Reca,RECA,pl POL,DF,SPAL,2019-2020
704,Franck Ribéry\Franck-Ribery,RIBERY,fr FRA,FW,Fiorentina,2019-2020
705,Tomás Rincón\Tomas-Rincon,RINCON,ve VEN,MF,Torino,2019-2020
706,Andrea Rispoli\Andrea-Rispoli,RISPOLI,it ITA,DF,Lecce,2019-2020
707,Marko Rog\Marko-Rog,ROG,hr CRO,MF,Cagliari,2019-2020
708,Rogério\Rogerio,ROGERIO,br BRA,DF,Sassuolo,2019-2020
709,Filippo Romagna\Filippo-Romagna,ROMAGNA,it ITA,DF,Sassuolo,2019-2020
710,Alessio Romagnoli\Alessio-Romagnoli,ROMAGNOLI,it ITA,DF,Milan,2019-2020
711,Cristian Romero\Cristian-Romero,ROMERO,ar ARG,DF,Genoa,2019-2020
712,Rômulo\Romulo,ROMULO,it ITA,MF,Brescia,2019-2020
713,Cristiano Ronaldo\Cristiano-Ronaldo,RONALDO,pt POR,FW,Juventus,2019-2020
714,Luca Rossettini\Luca-Rossettini,ROSSETTINI,it ITA,DF,Lecce,2019-2020
715,Amir Rrahmani\Amir-Rrahmani,RRAHMANI,xk KVX,DF,Verona,2019-2020
716,Stefano Sabelli\Stefano-Sabelli,SABELLI,it ITA,DF,Brescia,2019-2020
717,Antonio Sanabria\Antonio-Sanabria,SANABRIA,py PAR,FW,Genoa,2019-2020
718,Alexis Sánchez\Alexis-Sanchez,SANCHEZ,cl CHI,FW,Inter,2019-2020
719,Nicola Sansone\Nicola-Sansone,SANSONE,it ITA,FWMF,Bologna,2019-2020
720,Riccardo Saponara\Riccardo-Saponara,SAPONARA,it ITA,MFFW,Lecce,2019-2020
721,Lasse Schöne\Lasse-Schone,SCHONE,dk DEN,MF,Genoa,2019-2020
722,Jerdy Schouten\Jerdy-Schouten,SCHOUTEN,nl NED,MF,Bologna,2019-2020
723,Matteo Scozzarella\Matteo-Scozzarella,SCOZZARELLA,it ITA,MF,Parma,2019-2020
724,Ken Sema\Ken-Sema,SEMA,se SWE,DFMF,Udinese,2019-2020
725,Yevhen Shakhov\Yevhen-Shakhov,SHAKHOV,ua UKR,MFFW,Lecce,2019-2020
726,Giovanni Simeone\Giovanni-Simeone,SIMEONE,ar ARG,FW,Cagliari,2019-2020
727,Milan Škriniar\Milan-Skriniar,SKRINIAR,sk SVK,DF,Inter,2019-2020
728,Chris Smalling\Chris-Smalling,SMALLING,eng ENG,DF,Roma,2019-2020
729,Roberto Soriano\Roberto-Soriano,SORIANO,it ITA,MF,Bologna,2019-2020
730,Nikolas Špalek\Nikolas-Spalek,SPALEK,sk SVK,MFFW,Brescia,2019-2020
731,Leonardo Spinazzola\Leonardo-Spinazzola,SPINAZZOLA,it ITA,DF,Roma,2019-2020
732,Stefano Sturaro\Stefano-Sturaro,STURARO,it ITA,MF,Genoa,2019-2020
733,Suso\Suso,SUSO,es ESP,FWMF,Milan,2019-2020
734,Mattias Svanberg\Mattias-Svanberg,SVANBERG,se SWE,MF,Bologna,2019-2020
735,Andrea Tabanelli\Andrea-Tabanelli,TABANELLI,it ITA,MF,Lecce,2019-2020
736,Panagiotis Tachtsidis\Panagiotis-Tachtsidis,TACHTSIDIS,gr GRE,MF,Lecce,2019-2020
737,Morten Thorsby\Morten-Thorsby,THORSBY,no NOR,MFDF,Sampdoria,2019-2020
738,Jeremy Toljan\Jeremy-Toljan,TOLJAN,de GER,DF,Sassuolo,2019-2020
739,Rafael Tolói\Rafael-Toloi,TOLOI,it ITA,DF,Atalanta,2019-2020
740,Takehiro Tomiyasu\Takehiro-Tomiyasu,TOMIYASU,jp JPN,DF,Bologna,2019-2020
741,Nenad Tomović\Nenad-Tomovic,TOMOVIC,rs SRB,DF,SPAL,2019-2020
742,Sandro Tonali\Sandro-Tonali,TONALI,it ITA,MF,Brescia,2019-2020
743,Ernesto Torregrossa\Ernesto-Torregrossa,TORREGROSSA,it ITA,FW,Brescia,2019-2020
744,William Troost-Ekong\William-Troost-Ekong,TROOST-EKONG,ng NGA,DF,Udinese,2019-2020
745,Mirko Valdifiori\Mirko-Valdifiori,VALDIFIORI,it ITA,MF,SPAL,2019-2020
746,Mattia Valoti\Mattia-Valoti,VALOTI,it ITA,MFFW,SPAL,2019-2020
747,Matías Vecino\Matias-Vecino,VECINO,uy URU,MF,Inter,2019-2020
748,Simone Verdi\Simone-Verdi,VERDI,it ITA,MFFW,Torino,2019-2020
749,Jordan Veretout\Jordan-Veretout,VERETOUT,fr FRA,MF,Roma,2019-2020
750,Valerio Verre\Valerio-Verre,VERRE,it ITA,FWMF,Verona,2019-2020
751,Francesco Vicari\Francesco-Vicari,VICARI,it ITA,DF,SPAL,2019-2020
752,Ronaldo Vieira\Ronaldo-Vieira,VIEIRA,gw GNB,MF,Sampdoria,2019-2020
753,Dušan Vlahović\Dusan-Vlahovic,VLAHOVIC,rs SRB,FW,Fiorentina,2019-2020
754,Walace\Walace,WALACE,br BRA,MF,Udinese,2019-2020
755,Sebastian Walukiewicz\Sebastian-Walukiewicz,WALUKIEWICZ,pl POL,DF,Cagliari,2019-2020
756,Maya Yoshida\Maya-Yoshida,YOSHIDA,jp JPN,DF,Sampdoria,2019-2020
757,Ashley Young\Ashley-Young,YOUNG,eng ENG,DF,Inter,2019-2020
758,Mattia Zaccagni\Mattia-Zaccagni,ZACCAGNI,it ITA,FWMF,Verona,2019-2020
759,Nicolò Zaniolo\Nicolo-Zaniolo,ZANIOLO,it ITA,FWMF,Roma,2019-2020
760,Simone Zaza\Simone-Zaza,ZAZA,it ITA,FW,Torino,2019-2020
761,Piotr Zieliński\Piotr-Zielinski,ZIELINSKI,pl POL,MF,Napoli,2019-2020
762,Jaromír Zmrhal\Jaromir-Zmrhal,ZMRHAL,cz CZE,MF,Brescia,2019-2020
763,Francesco Acerbi\b96b595c,ACERBI,it ITA,DF,Lazio,2020-2021
764,Kevin Agudelo\46fa7204,AGUDELO,co COL,FW,Spezia,2020-2021
765,Sofyan Amrabat\5a2cb25d,AMRABAT,ma MAR,MF,Fiorentina,2020-2021
766,Cristian Ansaldi\bbafc0c4,ANSALDI,ar ARG,DF,Torino,2020-2021
767,Tolgay Arslan\963a328b,ARSLAN,de GER,MF,Udinese,2020-2021
768,Tommaso Augello\3cd3b384,AUGELLO,it ITA,DF,Sampdoria,2020-2021
769,Milan Badelj\e8c930bb,BADELJ,hr CRO,MF,Genoa,2020-2021
770,Tiemoué Bakayoko\59bf127b,BAKAYOKO,fr FRA,MF,Napoli,2020-2021
771,Mattia Bani\0821331c,BANI,it ITA,DF,Parma,2020-2021
772,Antonín Barák\01efac19,BARAK,cz CZE,MFFW,Verona,2020-2021
773,Federico Barba\c010b898,BARBA,it ITA,DF,Benevento,2020-2021
774,Nicolò Barella\6928979a,BARELLA,it ITA,MF,Inter,2020-2021
775,Musa Barrow\e5bf73f3,BARROW,gm GAM,FWMF,Bologna,2020-2021
776,Alessandro Bastoni\75b86fb3,BASTONI,it ITA,DF,Inter,2020-2021
777,Andrea Belotti\d705ba44,BELOTTI,it ITA,FW,Torino,2020-2021
778,Ahmad Benali\a128b07e,BENALI,ly LBY,MF,Crotone,2020-2021
779,Ismaël Bennacer\db092d3b,BENNACER,dz ALG,MF,Milan,2020-2021
780,Rodrigo Bentancur\3b8674e6,BENTANCUR,uy URU,MF,Juventus,2020-2021
781,Domenico Berardi\53a0e358,BERARDI,it ITA,FWMF,Sassuolo,2020-2021
782,Bartosz Bereszyński\61b3978f,BERESZYNSKI,pl POL,DF,Sampdoria,2020-2021
783,Federico Bernardeschi\ee93c1a9,BERNARDESCHI,it ITA,DFMF,Juventus,2020-2021
784,Cristiano Biraghi\9e1577aa,BIRAGHI,it ITA,DF,Fiorentina,2020-2021
785,Davide Biraschi\64cd167d,BIRASCHI,it ITA,DF,Genoa,2020-2021
786,Jeremie Boga\fe012aca,BOGA,ci CIV,FWMF,Sassuolo,2020-2021
787,Giacomo Bonaventura\d995ed27,BONAVENTURA,it ITA,MF,Fiorentina,2020-2021
788,Kevin Bonifazi\fb77bfef,BONIFAZI,it ITA,DF,Udinese,2020-2021
789,Leonardo Bonucci\52ec54d0,BONUCCI,it ITA,DF,Juventus,2020-2021
790,Gleison Bremer\5fd5ed86,BREMER,br BRA,DF,Torino,2020-2021
791,Marcelo Brozović\33b8d077,BROZOVIC,hr CRO,MF,Inter,2020-2021
792,Gastón Brugman\e947ee4a,BRUGMAN,uy URU,MF,Parma,2020-2021
793,Maxime Busi\7b082ec2,BUSI,be BEL,DF,Parma,2020-2021
794,Martín Cáceres\e94d79e3,CACERES,uy URU,DF,Fiorentina,2020-2021
795,Felipe Caicedo\93b891d1,CAICEDO,ec ECU,FW,Lazio,2020-2021
796,Davide Calabria\2146785a,CALABRIA,it ITA,DF,Milan,2020-2021
797,Luca Caldirola\226008f1,CALDIROLA,it ITA,DF,Benevento,2020-2021
798,Hakan Çalhanoğlu\cd0fa27b,CALHANOGLU,tr TUR,MFFW,Milan,2020-2021
799,Antonio Candreva\356c9002,CANDREVA,it ITA,MF,Sampdoria,2020-2021
800,Gianluca Caprari\54e53b7e,CAPRARI,it ITA,MFFW,Benevento,2020-2021
801,Francesco Caputo\5bd72174,CAPUTO,it ITA,FW,Sassuolo,2020-2021
802,Andrea Carboni\f7e2af2c,CARBONI,it ITA,DF,Cagliari,2020-2021
803,Samu Castillejo\130a7a3f,CASTILLEJO,es ESP,FW,Milan,2020-2021
804,Gaetano Castrovilli\0728bebe,CASTROVILLI,it ITA,MF,Fiorentina,2020-2021
805,Federico Ceccherini\d9624b51,CECCHERINI,it ITA,DF,Verona,2020-2021
806,Luca Ceppitelli\7d50454d,CEPPITELLI,it ITA,DF,Cagliari,2020-2021
807,Julian Chabot\ae7058f9,CHABOT,de GER,DF,Spezia,2020-2021
808,Giorgio Chiellini\e85fb9b8,CHIELLINI,it ITA,DF,Juventus,2020-2021
809,Federico Chiesa\b0f7e36c,CHIESA,it ITA,MFDF,Juventus,2020-2021
810,Vlad Chiricheș\c316607a,CHIRICHES,ro ROU,DF,Sassuolo,2020-2021
811,Luca Cigarini\ae64d449,CIGARINI,it ITA,MF,Crotone,2020-2021
812,Omar Colley\8b95acda,COLLEY,gm GAM,DF,Sampdoria,2020-2021
813,Andreas Cornelius\c693347d,CORNELIUS,dk DEN,FW,Parma,2020-2021
814,Joaquín Correa\45b9b619,CORREA,ar ARG,FW,Lazio,2020-2021
815,Domenico Criscito\35dd6d80,CRISCITO,it ITA,DF,Genoa,2020-2021
816,Bryan Cristante\16657b95,CRISTANTE,it ITA,DFMF,Roma,2020-2021
817,Juan Cuadrado\0ab1f153,CUADRADO,co COL,DFMF,Juventus,2020-2021
818,Lennart-Marten Czyborra\7ba1f1ef,CZYBORRA,de GER,DF,Genoa,2020-2021
819,Bryan Dabo\c53083ad,DABO,bf BFA,MF,Benevento,2020-2021
820,Diogo Dalot\d9565625,DALOT,pt POR,DF,Milan,2020-2021
821,Mikkel Damsgaard\215f3907,DAMSGAARD,dk DEN,MFFW,Sampdoria,2020-2021
822,Danilo\94b2001f,DANILO,br BRA,DF,Juventus,2020-2021
823,Matteo Darmian\96e0490d,DARMIAN,it ITA,DF,Inter,2020-2021
824,Paweł Dawidowicz\16bb656a,DAWIDOWICZ,pl POL,DF,Verona,2020-2021
825,Grégoire Defrel\854ee61a,DEFREL,mq MTQ,FWMF,Sassuolo,2020-2021
826,Merih Demiral\e3cceee6,DEMIRAL,tr TUR,DF,Juventus,2020-2021
827,Diego Demme\dc3fa3b5,DEMME,de GER,MF,Napoli,2020-2021
828,Fabio Depaoli\d97f2e8d,DEPAOLI,it ITA,DF,Benevento,2020-2021
829,Mattia Destro\d7d32194,DESTRO,it ITA,FW,Genoa,2020-2021
830,Mitchell Dijks\0a3065c8,DIJKS,nl NED,DF,Bologna,2020-2021
831,Federico Dimarco\970b8574,DIMARCO,it ITA,DF,Verona,2020-2021
832,Koffi Djidji\933d3b51,DJIDJI,ci CIV,DF,Crotone,2020-2021
833,Berat Djimsiti\6eee05f1,DJIMSITI,al ALB,DF,Atalanta,2020-2021
834,Nicolás Domínguez\20b3a502,DOMINGUEZ,ar ARG,MF,Bologna,2020-2021
835,Alfred Duncan\528492ea,DUNCAN,gh GHA,MF,Cagliari,2020-2021
836,Paulo Dybala\e0921a4f,DYBALA,ar ARG,FW,Juventus,2020-2021
837,Edin Džeko\3bb7f478,DZEKO,ba BIH,FW,Roma,2020-2021
838,Albin Ekdal\f503ea63,EKDAL,se SWE,MF,Sampdoria,2020-2021
839,Christian Eriksen\980522ec,ERIKSEN,dk DEN,MF,Inter,2020-2021
840,Martin Erlic\0fee6bda,ERLIC,hr CRO,DF,Spezia,2020-2021
841,Nahuel Estévez\cec60a2f,ESTEVEZ,ar ARG,MF,Spezia,2020-2021
842,Davide Faraoni\aae9d04a,FARAONI,it ITA,DF,Verona,2020-2021
843,Mohamed Fares\b7a5bc86,FARES,dz ALG,DF,Lazio,2020-2021
844,Diego Farias\157d29b6,FARIAS,br BRA,FW,Spezia,2020-2021
845,Salvador Ferrer\eb76987d,FERRER,es ESP,DF,Spezia,2020-2021
846,Daam Foulon\658d44be,FOULON,be BEL,DF,Benevento,2020-2021
847,Remo Freuler\98d2c2c4,FREULER,ch SUI,MF,Atalanta,2020-2021
848,Roberto Gagliardini\ce30bfc8,GAGLIARDINI,it ITA,MF,Inter,2020-2021
849,Riccardo Gagliolo\173061c0,GAGLIOLO,se SWE,DF,Parma,2020-2021
850,Gervinho\e468c053,GERVINHO,ci CIV,FW,Parma,2020-2021
851,Paolo Ghiglione\71dc23da,GHIGLIONE,it ITA,DFMF,Genoa,2020-2021
852,Kamil Glik\c6056d58,GLIK,pl POL,DF,Benevento,2020-2021
853,Diego Godín\fc4f85b1,GODIN,uy URU,DF,Cagliari,2020-2021
854,Edoardo Goldaniga\4b029b31,GOLDANIGA,it ITA,DF,Genoa,2020-2021
855,Vladimir Golemić\1db295e5,GOLEMIC,si SVN,DF,Crotone,2020-2021
856,Robin Gosens\2d970560,GOSENS,de GER,DF,Atalanta,2020-2021
857,Alberto Grassi\6cc97b6a,GRASSI,it ITA,MFDF,Parma,2020-2021
858,Koray Günter\f1f1f238,GUNTER,de GER,DF,Verona,2020-2021
859,Emmanuel Gyasi\f9758dae,GYASI,gh GHA,FW,Spezia,2020-2021
860,Achraf Hakimi\e42d61c7,HAKIMI,ma MAR,DF,Inter,2020-2021
861,Hans Hateboer\3b333ac3,HATEBOER,nl NED,DF,Atalanta,2020-2021
862,Hernani\6f5ead86,HERNANI,br BRA,MF,Parma,2020-2021
863,Përparim Hetemaj\90b70194,HETEMAJ,fi FIN,MF,Benevento,2020-2021
864,Wesley Hoedt\875898c7,HOEDT,nl NED,DF,Lazio,2020-2021
865,Elseid Hysaj\2f3452eb,HYSAJ,al ALB,DF,Napoli,2020-2021
866,Simone Iacoponi\63071a3f,IACOPONI,it ITA,DF,Parma,2020-2021
867,Roger Ibanez\82efe6fa,IBANEZ,br BRA,DF,Roma,2020-2021
868,Zlatan Ibrahimović\4cde5509,IBRAHIMOVIC,se SWE,FW,Milan,2020-2021
869,Igor\a4e85758,IGOR,br BRA,DF,Fiorentina,2020-2021
870,Ivan Ilić\bb376bed,ILIC,rs SRB,MF,Verona,2020-2021
871,Josip Iličić\68252d6d,ILICIC,si SVN,FWMF,Atalanta,2020-2021
872,Ciro Immobile\4431aed2,IMMOBILE,it ITA,FW,Lazio,2020-2021
873,Riccardo Improta\f6dfa5b8,IMPROTA,it ITA,MFDF,Benevento,2020-2021
874,Lorenzo Insigne\2f557579,INSIGNE,it ITA,FW,Napoli,2020-2021
875,Artur Ioniță\cedb3e36,IONITA,md MDA,MF,Benevento,2020-2021
876,Ardian Ismajli\6b635f5c,ISMAJLI,al ALB,DF,Spezia,2020-2021
877,Armando Izzo\89976232,IZZO,it ITA,DF,Torino,2020-2021
878,Jakub Jankto\1ea5f91c,JANKTO,cz CZE,MF,Sampdoria,2020-2021
879,Nikola Kalinić\d4931a5a,KALINIC,hr CRO,FW,Verona,2020-2021
880,Yann Karamoh\8b66d9cc,KARAMOH,fr FRA,FWMF,Parma,2020-2021
881,Rick Karsdorp\9f84febe,KARSDORP,nl NED,DF,Roma,2020-2021
882,Franck Kessié\05e19d6a,KESSIE,ci CIV,MF,Milan,2020-2021
883,Christian Kouamé\58e933d2,KOUAME,ci CIV,FW,Fiorentina,2020-2021
884,Kalidou Koulibaly\da974c7b,KOULIBALY,sn SEN,DF,Napoli,2020-2021
885,Juraj Kucka\5aaef9ef,KUCKA,sk SVK,MFFW,Parma,2020-2021
886,Dejan Kulusevski\df3cda47,KULUSEVSKI,se SWE,MFFW,Juventus,2020-2021
887,Marash Kumbulla\a40819d9,KUMBULLA,al ALB,DF,Roma,2020-2021
888,Jasmin Kurtić\144607cc,KURTIC,si SVN,MF,Parma,2020-2021
889,Giorgos Kyriakopoulos\0a483542,KYRIAKOPOULOS,gr GRE,DF,Sassuolo,2020-2021
890,Gianluca Lapadula\2ead2809,LAPADULA,pe PER,FW,Benevento,2020-2021
891,Kevin Lasagna\09538fdb,LASAGNA,it ITA,FW,Verona,2020-2021
892,Darko Lazović\5128bde4,LAZOVIC,rs SRB,DF,Verona,2020-2021
893,Manuel Lazzari\02caf6e0,LAZZARI,it ITA,DF,Lazio,2020-2021
894,Lukas Lerager\1b82f8df,LERAGER,dk DEN,MF,Genoa,2020-2021
895,Gaetano Letizia\3dd45b70,LETIZIA,it ITA,DF,Benevento,2020-2021
896,Karol Linetty\d023d70f,LINETTY,pl POL,MF,Torino,2020-2021
897,Manuel Locatelli\a8a874f1,LOCATELLI,it ITA,MF,Sassuolo,2020-2021
898,Matteo Lovato\5fa57166,LOVATO,it ITA,DF,Verona,2020-2021
899,Hirving Lozano\a69e4806,LOZANO,mx MEX,FW,Napoli,2020-2021
900,José Luis Palomino\921f6058,PALOMINO,ar ARG,DF,Atalanta,2020-2021
901,Romelu Lukaku\5eae500a,LUKAKU,be BEL,FW,Inter,2020-2021
902,Saša Lukić\c6e8cf1f,LUKIC,rs SRB,MF,Torino,2020-2021
903,Sebastiano Luperto\997fff07,LUPERTO,it ITA,DF,Crotone,2020-2021
904,Lyanco\b5bf1770,LYANCO,br BRA,DF,Torino,2020-2021
905,Charalambos Lykogiannis\5efc5389,LYKOGIANNIS,gr GRE,DF,Cagliari,2020-2021
906,Lisandro Magallán\01a49bd2,MAGALLAN,ar ARG,DF,Crotone,2020-2021
907,Giulio Maggiore\957e4c87,MAGGIORE,it ITA,MF,Spezia,2020-2021
908,Giangiacomo Magnani\cce9f582,MAGNANI,it ITA,DF,Verona,2020-2021
909,Nikola Maksimović\16b9d5cf,MAKSIMOVIC,rs SRB,DF,Napoli,2020-2021
910,Ruslan Malinovskyi\48d5bd33,MALINOVSKYI,ua UKR,FWMF,Atalanta,2020-2021
